code,X091714HP,X091715HP,X091716HP,X91701,X91702,X91703,X91704,X91706,X91708,X91710,X91711,X91712,X91713,X91801,X91802,X91803
taluk,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti,Shirahatti
village,ITAGI,BANNIKOPPA,YATTINAHALLI,BELLATTI,LAKSHMESHWAR,BANNIKOPPA,DODDUR,VADAVIHOSUR,DEVIHAL,YATTINAHALLI,SHIRAHATTI,ITAGI,BALEHOSUR,Doddur,Balehosur,Shirahatti
lat,14.95278,15.1,15.25,15.08056,15.125,15.1,15.05972,15.04444,15.10694,15.25,15.23333,14.95278,14.98333,15.05972,14.98333,15.23333
long,75.71944,75.71667,75.43611,75.64861,75.46667,75.71667,75.51389,75.68611,75.62222,75.43611,75.57083,75.71944,75.6,75.51389,75.6,75.57083
2007-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-04-01,24.7,27.6,31.62,7.17,0,0,0,0,9.36,0,0,8.7,0,0,0,0
2007-05-01,24.7,27.6,31.62,7.17,0,0,0,0,9.36,0,0,8.7,0,0,0,0
2007-06-01,25,28.2,31.95,7.45,0,0,0,0,9.6,0,0,8.98,0,0,0,0
2007-07-01,0,0,0,4.95,0,16.6,0,0,7.37,8.55,6.55,6.75,0,0,0,0
2007-08-01,0,0,0,2.95,0,765,0,0,5.39,6.5,5.6,5.65,0,0,0,0
2007-09-01,14.1,13.7,20.12,0.73,0,4.15,9.05,0,3.16,6.8,5.8,3.45,0,0,0,0
2007-10-01,10.1,9.26,0,0.6,0,3.05,0,0,2.5,0,2.15,3,0,0,0,0
2007-11-01,0,9.5,16.75,2.75,0,3.5,0,0,3.5,0,3.9,4.2,0,0,0,0
2007-12-01,12.3,11.2,17.25,3.05,0,3.75,0,0,2.9,0,4.1,4.5,0,0,0,0
2008-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-04-01,15.12,14.55,21.63,6.23,0,6.3,0,0,6.8,8.9,7.85,7.1,0,0,0,0
2008-05-01,15.12,14.55,21.63,6.23,0,6.3,0,0,6.8,8.9,7.85,7.1,0,0,0,0
2008-06-01,16.1,15.25,21.95,7.13,0,7.35,0,0,7.76,9.65,8.63,8.2,0,0,0,0
2008-07-01,17.5,16.38,23.67,7.48,0,7.97,0,0,8.48,9.9,9.18,8.35,0,0,0,0
2008-08-01,17,16.6,24,7.55,0,8.1,0,0,8.58,10,9.25,8.4,0,0,0,0
2008-09-01,16.5,16.7,24.12,7.75,0,8.25,16.1,0,8.7,10.1,9.35,8.3,0,0,0,0
2008-10-01,16,16.6,24.1,7.7,0,8.2,0,0,8.5,0,9.18,8,0,0,0,0
2008-11-01,15.6,16.8,24.25,7.85,0,8.3,0,0,8.65,0,9.258,7.9,0,0,0,0
2008-12-01,15.7,17,25.5,7.9,0,8.5,0,0,8.85,0,9.35,8,0,0,0,0
2009-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-04-01,0,0,0,8.3,0,9.02,0,0,9.53,10.78,9.86,8.64,0,0,0,0
2009-05-01,0,0,0,8.3,0,9.02,0,0,9.53,10.78,9.86,8.64,0,0,0,0
2009-06-01,0,0,0,8.91,0,9.85,0,0,9.88,11.58,10.6,8.99,0,0,0,0
2009-07-01,17,18,26,9.11,0,9.99,0,0,10.3,11.64,0,9.13,0,0,0,0
2009-08-01,17.03,18.25,26.3,9.32,0,10.14,0,NA,10.17,11.78,0,9.44,0,0,0,0
2009-09-01,17.45,18.6,26.52,9.52,0,10.26,12.7,0,10.32,11.91,0,9.58,0,0,0,0
2009-10-01,16.45,18.01,25.83,9.4,0,10.1,0,0,10.1,10,0,9.4,0,0,0,0
2009-11-01,10.25,11.5,18,5.3,0,6.36,0,0,5.86,10.15,5.15,5.1,0,0,0,0
2009-12-01,8.29,11.7,18.55,0.73,NA,5.2,0,0,1.57,0,.4.75,3.39,0,0,0,0
2010-01-01,2.78999996185303,Collapsed,Dry,0.6,Lock Jam,Dry,Collapsed,Cap Jam,2.56,Dry,5.05000019073486,2.77,Dry,Not drilled,Not drilled,Not drilled
2010-02-01,3,Collapsed,Dry,0.64,Lock Jam,Dry,Collapsed,Cap Jam,3.45,Dry,5.44000005722046,3,Dry,Not drilled,Not drilled,Not drilled
2010-03-01,3.5,Collapsed,Dry,1.2,Lock Jam,Dry,Collapsed,Cap Jam,4,Dry,5.75,3.4,Dry,Not drilled,Not drilled,Not drilled
2010-04-01,Collapsed,Collapsed,Dry,1.33,Lock Jam,Dry,Collapsed,Cap Jam,4.95,Dry,6.30000019073486,3.6,Dry,Not drilled,Not drilled,Not drilled
2010-05-01,Collapsed,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,Cap Jam,5.15,Dry,7,3.9,Dry,Not drilled,Not drilled,Not drilled
2010-06-01,Collapsed,Collapsed,Dry,0.95,Lock Jam,Dry,Collapsed,Cap Jam,3.15,Dry,7.09999990463257,3.7,Dry,Not drilled,Not drilled,Not drilled
2010-07-01,Collapsed,Collapsed,Dry,0.75,Lock Jam,Dry,Collapsed,Cap Jam,2.9,Dry,6.94999980926514,3.4,Dry,Not drilled,Not drilled,Not drilled
2010-08-01,Collapsed,Collapsed,Dry,1.05,Lock Jam,Dry,Collapsed,Cap Jam,2.6,Dry,6.59999990463257,3.2,Dry,Not drilled,Not drilled,Not drilled
2010-09-01,Collapsed,Collapsed,Dry,0.2,Lock Jam,Dry,Collapsed,Cap Jam,1.2,Dry,6,2.7,Dry,Not drilled,Not drilled,Not drilled
2010-10-01,Collapsed,Collapsed,Dry,0.9,Lock Jam,Dry,Collapsed,Cap Jam,1.4,Dry,6.5,1.5,Dry,Not drilled,Not drilled,Not drilled
2010-11-01,Collapsed,Collapsed,Dry,1,Lock Jam,Dry,Collapsed,Cap Jam,1.6,Dry,6.40000009536743,1.45,Dry,Not drilled,Not drilled,Not drilled
2010-12-01,Collapsed,Collapsed,Dry,1.2,Lock Jam,Dry,Collapsed,Cap Jam,1.7,Dry,6.80000019073486,1.5,Dry,Not drilled,Not drilled,Not drilled
2011-01-01,Collapsed,Collapsed,Dry,1.3,Lock Jam,Dry,Collapsed,Cap jam,2,Dry,7.09999990463257,1.8,Dry,Not drilled,Not drilled,Not drilled
2011-02-01,Collapsed,Collapsed,Dry,1.4,Lock Jam,Dry,Collapsed,Cap jam,2.1,Dry,6.90000009536743,1.9,Dry,Not drilled,Not drilled,Not drilled
2011-03-01,Collapsed,Collapsed,Dry,1.35,Lock Jam,Dry,Collapsed,Cap jam,2.2,Dry,7,2,Dry,Not drilled,Not drilled,Not drilled
2011-04-01,Collapsed,Collapsed,Dry,1.5,Lock Jam,Dry,Collapsed,Cap jam,2.35,Dry,7.40000009536743,2.15,Dry,Not drilled,Not drilled,Not drilled
2011-05-01,Collapsed,Collapsed,Dry,1.4,Lock Jam,Dry,Collapsed,Cap jam,2.45,Dry,6.30000019073486,2,Dry,Not drilled,Not drilled,Not drilled
2011-06-01,Collapsed,Collapsed,Dry,0.6,Lock Jam,Dry,Collapsed,Cap jam,3.6,Dry,7.30000019073486,1.8,Dry,Not drilled,Not drilled,Not drilled
2011-07-01,Collapsed,Collapsed,Dry,0.8,Lock Jam,Dry,Collapsed,Cap jam,3.1,Dry,7.09999990463257,1.5,Dry,Not drilled,Not drilled,Not drilled
2011-08-01,Collapsed,Collapsed,Dry,0.9,Lock Jam,Dry,Collapsed,Cap jam,3,Dry,5.80000019073486,1.65,Dry,Not drilled,Not drilled,Not drilled
2011-09-01,Collapsed,Collapsed,Dry,0.7,Lock Jam,Dry,Collapsed,Cap jam,2.7,Dry,5.5,1.4,Dry,Not drilled,Not drilled,Not drilled
2011-10-01,Collapsed,Collapsed,Dry,1.1,Lock Jam,Dry,Collapsed,Cap jam,3,Dry,5.94999980926514,1.6,Dry,Not drilled,Not drilled,Not drilled
2011-11-01,Collapsed,Collapsed,Dry,0.9,Lock Jam,Dry,Collapsed,Cap jam,2.9,Dry,5.75,1.5,Dry,Not drilled,Not drilled,Not drilled
2011-12-01,Collapsed,Collapsed,Dry,1.2,Lock Jam,Dry,Collapsed,Cap jam,3,Dry,5.90000009536743,1.75,Dry,Not drilled,Not drilled,Not drilled
2012-01-01,Collapsed,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,Cap Jam,3.3,Dry,6.30000019073486,2,Dry,Not drilled,Not drilled,Not drilled
2012-02-01,Collapsed,Collapsed,Dry,1.9,Lock Jam,Dry,Collapsed,Cap Jam,3.6,Dry,6.90000009536743,2.5,Dry,Not drilled,Not drilled,Not drilled
2012-03-01,Collapsed,Collapsed,Dry,2.5,Lock Jam,Dry,Collapsed,Cap Jam,3.9,Dry,7.5,2.9,Dry,Not drilled,Not drilled,Not drilled
2012-04-01,Collapsed,Collapsed,Dry,2.9,Lock Jam,Dry,Collapsed,Cap Jam,4,Dry,7.90000009536743,3.15,Dry,Not drilled,Not drilled,Not drilled
2012-05-01,Collapsed,Collapsed,Dry,3,Lock Jam,Dry,Collapsed,Cap Jam,4.9,Dry,8.10000038146973,3.2,Dry,Not drilled,Not drilled,Not drilled
2012-06-01,Collapsed,Collapsed,Dry,3.1,Lock Jam,Dry,Collapsed,Cap Jam,4.9,Dry,6.19999980926514,3.8,Dry,Not drilled,Not drilled,Not drilled
2012-07-01,Collapsed,Collapsed,Dry,3,Lock Jam,Dry,Collapsed,Cap Jam,4.95,Dry,8.14999961853027,3.9,Dry,Not drilled,Not drilled,Not drilled
2012-08-01,Collapsed,Collapsed,Dry,2.65,Lock Jam,Dry,Collapsed,Cap Jam,4.75,Dry,8,3.7,Dry,Not drilled,Not drilled,Not drilled
2012-09-01,Collapsed,Collapsed,Dry,2.3,Lock Jam,Dry,10,Cap Jam,4.5,Dry,7.90000009536743,3.35,Dry,10,10.1999998092651,7.90000009536743
2012-10-01,Collapsed,Collapsed,Dry,2,Lock Jam,Dry,9.85000038146973,Cap Jam,4.25,Dry,8,3.15,Dry,9.85,10.3999996185303,8
2012-11-01,Collapsed,Collapsed,Dry,1.7,Lock Jam,Dry,Collapsed,Cap Jam,4,Dry,9.30000019073486,3.15,Dry,10,11.6000003814697,8.5
2012-12-01,Collapsed,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,Cap Jam,3.9,Dry,10,3.3,Dry,10.3,11.8000001907349,9.5
2013-01-01,Collapsed,Collapsed,Dry,1.8,Lock Jam,Dry,10.8000001907349,cap jam,4.2,Dry,Dry,3.6,Dry,Pump installed,12.3999996185303,10.5
2013-02-01,4,Collapsed,Dry,2,Lock Jam,Dry,11.3999996185303,cap jam,4.6,Dry,Dry,3.95,Dry,Pump installed,13.3999996185303,11.6000003814697
2013-03-01,4.59999990463257,Collapsed,Dry,2.34,Lock Jam,Dry,12.1000003814697,cap jam,5.1,Dry,Dry,4.4,Dry,Pump installed,14.5,12.8000001907349
2013-04-01,5.30000019073486,Collapsed,Dry,2.75,Lock Jam,Dry,Collapsed,cap jam,5.7,Dry,Dry,5,Dry,Pump installed,15.6999998092651,12.3999996185303
2013-05-01,4.5,Collapsed,Dry,2.5,Lock Jam,Dry,Collapsed,cap jam,5.6,Dry,Dry,4.5,Dry,Pump installed,15.8999996185303,14.1999998092651
2013-06-01,4.09999990463257,Collapsed,Dry,2.2,Lock Jam,Dry,Collapsed,cap jam,5.2,Dry,Dry,4.1,Dry,Pump installed,15.3999996185303,14
2013-07-01,3.84999990463257,Collapsed,Dry,1.2,Lock Jam,Dry,Collapsed,10.5500001907349,4.95,Dry,Dry,3.85,Dry,Pump installed,11.8999996185303,13.0500001907349
2013-08-01,3.54999995231628,Collapsed,Dry,1.7,Lock Jam,Dry,Collapsed,10.3999996185303,4.8,Dry,Dry,3.55,Dry,Pump installed,9,12.0500001907349
2013-09-01,3.5,Collapsed,Dry,1.65,Lock Jam,Dry,Collapsed,10.3000001907349,4.7,Dry,Dry,3.35,Dry,Pump installed,11,12.5500001907349
2013-10-01,3.09999990463257,Collapsed,Dry,1.5,Lock Jam,Dry,Collapsed,10.1499996185303,4.5,Dry,Dry,3.1,Dry,Pump installed,11.75,12.8500003814697
2013-11-01,3.29999995231628,Collapsed,Dry,1.4,Lock Jam,Dry,Collapsed,10.1499996185303,4.35,Dry,Dry,2.9,Dry,Pump installed,11.1999998092651,12.9499998092651
2013-12-01,3.45000004768372,Collapsed,Dry,1.3,Lock Jam,Dry,Collapsed,10.3000001907349,4.25,Dry,Dry,2.8,Dry,Pump installed,11.75,13.1000003814697
2014-01-01,3.65000009536743,Collapsed,Dry,1.4,Lock Jam,Dry,Collapsed,10.5500001907349,4.35,Dry,Dry,2.86,Dry,13.45,12.3000001907349,13.3000001907349
2014-02-01,3.90000009536743,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,10.8999996185303,4.5,Dry,Dry,3,Dry,14.1,12.8999996185303,13.5500001907349
2014-03-01,Collapsed,Collapsed,Dry,1.85,Lock Jam,Dry,Collapsed,10.3000001907349,4.7,Dry,Dry,3.2,Dry,14.78,13.5500001907349,13.8500003814697
2014-04-01,Collapsed,Collapsed,Dry,2.15,Lock Jam,Dry,Collapsed,11.75,4.95,Dry,Dry,3.4,Dry,15.48,14.25,14.1999998092651
2014-05-01,Collapsed,Collapsed,Dry,2.35,Lock Jam,Dry,Collapsed,Cap Jam,5.1,Dry,Dry,3.5,Dry,16,Pump installed,Pump installed
2014-06-01,Collapsed,Collapsed,Dry,2.45,Lock Jam,Dry,Collapsed,Cap Jam,5.2,Dry,Dry,3.45,Dry,16.45,Pump installed,Pump installed
2014-07-01,Collapsed,Collapsed,Dry,2.3,Lock Jam,Dry,Collapsed,Cap Jam,5.05,Dry,Dry,3.25,Dry,16.7,Pump installed,Pump installed
2014-08-01,Collapsed,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,Cap Jam,4.3,11,9.30000019073486,2.65,Dry,16.3,Pump installed,Pump installed
2014-09-01,Collapsed,Collapsed,Dry,1.1,Lock Jam,Dry,Collapsed,Cap Jam,3.75,10.8500003814697,9.19999980926514,2.3,Dry,16.1,Pump installed,Pump installed
2014-10-01,Collapsed,Collapsed,Dry,0.8,Lock Jam,Dry,Collapsed,Cap Jam,3.4,10.8000001907349,9.30000019073486,2.1,Dry,16,Pump installed,Pump installed
2014-11-01,Collapsed,Collapsed,Dry,0.7,Lock Jam,Dry,Collapsed,Cap Jam,3.2,10.8000001907349,9.5,2,Dry,16,Pump installed,Pump installed
2014-12-01,Collapsed,Collapsed,Dry,0.8,Lock Jam,Dry,Collapsed,Cap Jam,3.3,11,9.80000019073486,2.1,Dry,16.1,Pump installed,Pump installed
2015-01-01,Collapsed,Collapsed,Dry,0.95,Lock Jam,Dry,Collapsed,Cap Jam,3.43,11.25,10.1300001144409,2.25,Dry,16.25,Pump installed,Pump installed
2015-02-01,Collapsed,Collapsed,Dry,1.15,Lock Jam,Dry,Collapsed,Cap Jam,3.63,11.5500001907349,10.5500001907349,2.25,Dry,16.45,Pump installed,Pump installed
2015-03-01,Collapsed,Collapsed,Dry,1.4,Lock Jam,Dry,Collapsed,Cap Jam,3.8,11.8999996185303,Dry,2.8,Dry,16.75,Pump installed,Pump installed
2015-04-01,Collapsed,Collapsed,Dry,1.55,Lock Jam,Dry,Collapsed,Cap Jam,4.08,12.1999998092651,Dry,3.05,Dry,17.05,Pump installed,Pump installed
2015-05-01,Collapsed,Collapsed,Dry,1.65,Lock Jam,Dry,Collapsed,Cap Jam,4.18,11.9799995422363,Dry,3.3,Dry,17.15,Pump installed,Pump installed
2015-06-01,Collapsed,Collapsed,Dry,1,Lock Jam,Dry,Collapsed,5.40000009536743,2.95,12.3500003814697,Dry,3.1,Dry,15.85,Pump installed,Pump installed
2015-07-01,Collapsed,Collapsed,Dry,1.05,Lock Jam,Dry,Collapsed,6.38000011444092,3.1,Dry,Dry,5,Dry,15.9,Pump installed,Pump installed
2015-08-01,Collapsed,Collapsed,Dry,1,Lock Jam,Dry,Collapsed,7.21999979019165,3,Dry,Dry,4.8,Dry,13.86,Pump installed,Pump installed
2015-09-01,Collapsed,Collapsed,Dry,1.1,Lock Jam,Dry,Collapsed,7.09999990463257,2.9,Dry,Dry,5.1,Dry,12.7,Pump installed,Pump installed
2015-10-01,Collapsed,Collapsed,Dry,0.95,Lock Jam,Dry,Collapsed,6.80000019073486,2.65,Dry,Dry,4.75,Dry,11.7,Pump installed,Pump installed
2015-11-01,Collapsed,Collapsed,Dry,0.95,Lock Jam,Dry,Collapsed,6.90000009536743,2.9,Dry,Dry,4.85,Dry,11.7,Pump installed,Pump installed
2015-12-01,Collapsed,Collapsed,Dry,1,Lock Jam,Dry,Collapsed,8,2.92,Dry,Dry,5.3,Dry,12,Pump installed,Pump installed
2016-01-01,Collapsed,Collapsed,Dry,1.04999995231628,Lock Jam,Dry,Collapsed,10.1,2.94000005722046,Dry,Dry,5.31,Dry,12.1000003814697,Pump installed,Pump installed
2016-02-01,Collapsed,Collapsed,Dry,1.35000002384186,Lock Jam,Dry,Collapsed,11.99,3.09999990463257,Dry,Dry,5.99,Dry,13.4499998092651,Pump installed,Pump installed
2016-03-01,Collapsed,Collapsed,Dry,2.02999997138977,Lock Jam,Dry,Collapsed,12.15,5.09999990463257,Dry,Dry,5.43,Dry,13.5500001907349,Pump installed,Pump installed
2016-04-01,Collapsed,Collapsed,Dry,2,Lock Jam,Dry,Collapsed,13.65,6.09999990463257,Dry,Dry,6.2,Dry,14.6999998092651,Pump installed,Pump installed
2016-05-01,Collapsed,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,15.72,6.1,Dry,Dry,6.2,Dry,17.05,Pump installed,Pump installed
2016-06-01,Collapsed,Collapsed,Dry,1.25,Lock Jam,Dry,Collapsed,15.45,6.05,Dry,Dry,6.1,Dry,16.85,Pump installed,Pump installed
2016-07-01,Collapsed,Collapsed,Dry,1,Lock Jam,Dry,Collapsed,15,5.2,Dry,Dry,5.2,Dry,16.45,Pump installed,Pump installed
2016-08-01,Collapsed,Collapsed,Dry,1.2,Lock Jam,Dry,Collapsed,13.9,4.8,Dry,4.2,4.75,Dry,15.3,Pump installed,Pump installed
2016-09-01,Collapsed,Collapsed,Dry,1.25,Lock Jam,Dry,Collapsed,14.35,5,Dry,4.45,5.5,Dry,16.45,Pump installed,Pump installed
2016-10-01,Collapsed,Collapsed,Dry,0.6,Lock Jam,Dry,Collapsed,17.35,5.6,Dry,4.3,5.2,Dry,16.2,Pump installed,Pump installed
2016-11-01,Collapsed,Collapsed,Dry,1.6,Lock Jam,Dry,Collapsed,17.37,6.3,Dry,4.9,5.9,Dry,16.36,Pump installed,Pump installed
2016-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-01,-,NA,-,2,-,NA,18.71,17.95,6.8,-,5.3,6.26,NA,-,NA,-
2017-02-01,-,NA,-,2.1,-,NA,18.2,18.1,6.9,-,5.45,6.41,NA,-,NA,-
2017-03-01,-,NA,-,3.2,-,NA,21.78,18.1,6.9,-,6.3,6.75,NA,-,NA,-
2017-04-01,-,-,-,5.4,-,-,23.66,17.8,6.6,-,6.4,6.8,-,-,-,-
2017-05-01,-,-,-,5.6,-,-,24.7,17.3,8.2,-,7.5,7.3,-,-,-,-
2017-06-01,-,-,-,5.7,-,-,25.3,17.8,8.5,-,7.8,7.7,-,-,-,-
2017-07-01,Pump Installed,Filled Up,Lock Jam,6.1,Cap Jam,Dry,Filled Up,18,8.5,Dry,8.1,7.9,Dry,25.7,Dry,Pump Installed
2017-08-01,Dry,Dry,Dry,Dry,Cap Jam,Dry,Filled Up,17.1,Dry,Dry,Dry,Dry,Dry,24.95,Dry,Pump Installed
2017-09-01,Dry,Dry,Dry,Dry,Cap Jam,Dry,Filled Up,16.5,Dry,Dry,Dry,Dry,Dry,18.9,Dry,Pump Installed
2017-10-01,Pump Installed,Filled Up,Lock Jam,3.4,Cap Jam,Dry,Filled Up,14.5,6.1,Dry,5.1,6,Dry,11.1,Dry,Pump Installed
2017-11-01,Pump Installed,Filled Up,Lock Jam,3.7,Cap Jam,Dry,Filled Up,14.9,6.5,Dry,5.5,6.7,Dry,11.7,Dry,Pump Installed
2017-12-01,Pump Installed,Filled Up,Lock Jam,5.65,Cap Jam,Dry,Filled Up,15.5,7.2,Dry,6.35,6.9,Dry,13.47,Dry,Pump Installed
2018-01-01,Pump Installed,Filled Up,Lock Jam,6.1,Cap Jam,Dry,Filled Up,15.75,7.7,Dry,7.1,7.25,Dry,14.1,Dry,Pump Installed
2018-02-01,Pump Installed,Filled Up,Lock Jam,6.7,Cap Jam,Dry,Filled Up,15.8,8,Dry,8.15,7.3,Dry,14.1,Dry,Pump Installed
2018-03-01,Pump Installed,Filled Up,Lock Jam,8.9,Cap Jam,Dry,Filled Up,16.5,9.9,Dry,9.15,8,Dry,19.4,Dry,Pump Installed
2018-04-01,Pump Installed,Filled Up,Lock Jam,9.5,Cap Jam,Dry,Filled Up,17.1,10.3,Dry,9.25,8.2,Dry,19.05,Dry,Pump Installed
2018-05-01,Pump Installed,Filled Up,Lock Jam,10.75,Cap Jam,Dry,Filled Up,18.1,11.15,Dry,9.65,8.47,Dry,15.49,Dry,Pump Installed
2018-06-01,Pump Installed,Filled Up,Lock Jam,9.95,Cap Jam,Dry,Filled Up,17.5,10.49,Dry,9.3,8.08,Dry,13.38,Dry,Pump Installed
2018-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
